ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
1	1	Što znači 'zavjet' u Bibliji?	Samo obećanje	Svečani savez između Boga i njegovog naroda	Samo ugovor	Samo dogovor	1	Noa, Abraham, Mojsije, Isus — savezi s Bogom.
2	1	Savez s Noom obilježen je:	Vatrom	Dugom	Zvijezdom	Oblak	1	Post 9,13 — duga kao znak Božjeg obećanja.
3	1	Savez s Abrahamom obećava:	Samo bogatstvo	Veliko potomstvo i obećanu zemlju	Samo zaštitu	Samo zdravlje	1	Post 12 — Bog poziva Abrahama.
4	1	Izlazak (Egzodus) opisuje:	Samo putovanje	Oslobođenje Izraelaca iz egipatskog ropstva	Samo rat	Samo plovidbu	1	Mojsije — 10 zala, Pasha, Crveno more.
5	1	Pasha (Pesah) slavi:	Samo hranu	Oslobođenje iz Egipta — Bog je prošao	Samo proljeće	Samo žetvu	1	Temelj za kršćanski Uskrs.
6	1	Proroci u Starom zavjetu:	Predviđali budućnost	Govorili Božju poruku narodu — poziv na obraćenje	Samo pisali	Samo molili	1	Izaija, Jeremija, Ezekijel, Daniel...
7	1	Izaija je prorokovao:	Samo propast	Dolazak Mesije (Emmanuel = Bog s nama)	Samo rat	Samo bogatstvo	1	Iz 7,14 — 'Evo, djevica će začeti.'
8	1	Knjiga Psalma sadrži:	Samo 50 psalama	150 psalama (molitvenih pjesama)	Samo 10 psalama	Samo 200 psalama	1	Različiti tipovi: hvala, tužaljka, zahvala, mudrosni.
9	1	Psalam 23 počinje:	Milost Božja	Gospodin je pastir moj: ni u čem neću oskudjevati	Slava Bogu	Hvala Bogu	1	Najpoznatiji psalam — povjerenje u Boga.
10	2	Isus je odrastao u Nazaretu kao:	Kralj	Sin stolara Josipa i Marije	Vojnik	Trgovac	1	Skroman život do javnog djelovanja.
11	2	Isusovo krštenje u Jordanu obilježava:	Kraj djelovanja	Početak javnog djelovanja — glas s neba	Samo obred	Samo tradiciju	1	Mt 3,17 — 'Ovo je Sin moj, Ljubavljeni.'
12	2	Isus je bio kušan u pustinji:	1 dan	40 dana	7 dana	3 dana	1	Mt 4,1-11 — tri kušnje đavla.
13	2	Govor na Gori uključuje:	Samo jednu poruku	Blaženstva, Očenaš, ljubav prema neprijateljima	Samo molitvu	Samo zapovijedi	1	Mt 5-7 — srž Isusovog nauka.
14	2	Isus je liječio:	Samo slijepe	Slijepe, hrome, gubave, gluhe — sve bolesnike	Samo bogaste	Samo svećenike	1	Čuda ozdravljenja — znak Božjeg Kraljevstva.
15	2	Isus je hodao po vodi:	U rijeci	Na Galilejskom jezeru	Na moru	Na oceanu	1	Mt 14,25 — Petar mu pošao u susret.
16	1	Pristpodoba o sijaču govori o:	Samo o zemlji	Kako Božja riječ pada na različita 'tla' (srca)	Samo o biljaka	Samo o kiši	1	Mt 13,3-23 — put, kamen, trnje, dobra zemlja.
17	1	Prispodoba o izgubljenoj ovci uči:	Samo o stadu	Da Bog traži svakog izgubljenog	Samo o pastiru	Samo o brdu	1	Lk 15,4-7 — 'Više radosti za jednog grešnika...'
18	1	Prispodoba o zrnu gorušičinu govori o:	Samo o grmlje	Kako Božje Kraljevstvo raste iz malenog početka	Samo o vrtu	Samo o sjemenu	1	Mt 13,31-32 — najmanje sjeme postaje veliko drvo.
19	2	Isus je ušao u Jeruzalem na:	Konju	Magarcu (Cvjetnica/Nedjelja Cvijeća)	Kamili	Pješice	1	Mt 21,1-11 — narod ga dočekao s palminim grancama.
20	2	Judina izdaja Isusa za:	100 srebrnjaka	30 srebrnjaka	50 srebrnjaka	10 srebrnjaka	1	Mt 26,15 — Juda Iskariotski.
21	2	Petar je zanijekao Isusa:	Jednom	Tri puta	Dva puta	Nikada	1	Mt 26,69-75 — pijetao je zapjevao.
22	2	Isus je na križu rekao:	Samo šutio	'Oče, oprosti im jer ne znaju što čine'	Samo plakao	Samo vikao	1	Lk 23,34 — oproštenje i na križu.
23	2	Isus je uskrsnuo:	Drugog dana	Trećega dana	Petog dana	Sedmog dana	1	Nedjelja — dan uskrsnuća.
24	1	Crkva godišnje slavi liturgijsku godinu u:	3 razdoblja	Advent, Božić, Korizma, Uskrs, Obično vrijeme	Samo 2 razdoblja	Samo 1 razdoblje	1	Liturgijske boje: ljubičasta, bijela, zelena, crvena.
25	1	Ljubičasta boja u liturgiji znači:	Radost	Pokoru i pripravu (Advent, Korizma)	Žalost	Slavlje	1	Vrijeme obraćenja i priprave.
26	1	Bijela boja u litugiji znači:	Žalost	Radost, čistoća, slavlje (Božić, Uskrs)	Pokora	Post	1	Velika slavlja.
27	2	Zelena boja u liturgiji:	Samo dekoracija	Obično vrijeme — nada i rast u vjeri	Samo za Božić	Samo za Uskrs	1	Dugo razdoblje liturgijske godine.
28	2	Crvena boja u liturgiji:	Samo za Valentine	Duhovi, mučenici — Duh Sveti i krv mučenika	Samo za Božić	Samo za Uskrs	1	Pedesetnica, blagdani mučenika.
29	1	Katekizam je:	Samo knjiga	Sustavni prikaz katoličke vjere (pitanja i odgovori)	Samo molitvenik	Samo zakonik	1	Temelj za pouku u vjeri.
30	1	Kršćanski moral uči:	Samo pravila	Kako živjeti po Božjoj volji iz ljubavi	Samo zabrane	Samo za svećenike	1	Zapovijed ljubavi — temelj moralnog života.
31	2	Djela milosrđa tjelesna uključuju:	Samo molitvu	Nahraniti gladne, napojiti žedne, odjenuti gole...	Samo darivanje	Samo volontiranje	1	Mt 25,35-36 — 7 djela tjelesnog milosrđa.
32	2	Djela milosrđa duhovna uključuju:	Samo tjelesna	Savjetovati, poučiti, utješiti, oprostiti...	Samo molitvu	Samo darivanje	1	7 duhovnih djela milosrđa.
33	1	Kršćanstvo se po tradiciji dijeli na:	Samo 2 grane	Katoličanstvo, pravoslavlje, protestantizam	Samo 1 granu	Samo 4 grane	1	Velika podjela: 1054. (Istok-Zapad) + Reformacija (16. st.).
34	1	Martin Luther bio je:	Katolički papa	Reformator — pokretač protestanta reformacije	Katolički svetac	Pravoslavni patrijarh	1	95 teza (1517) — prigovor praksama Crkve.
35	2	Pravoslavna crkva se razlikuje od Katoličke po:	Ničemu	Ne priznaju papu, drugačiji obredi, drugi kalendar	Samo jeziku	Samo po nošnji	1	Veliki raskol 1054. — Carigradski patrijarh.
36	2	Islam je:	Kršćanstvo	Monoteistička religija utemeljena na Kuranu	Budizam	Hinduizam	1	Prorok Muhamed, Allah, pet stupova islama.
37	2	Judaizam je:	Kršćanstvo	Židovska religija — Tora, sinagoga, šabat	Islam	Budizam	1	Abrahamska religija — zajednički korijeni s kršćanstvom.
38	1	Sveta Katarina Aleksandrijska je:	Samo legenda	Zaštitnica učenika i filozofa	Samo kraljica	Samo iz priče	1	25. studenoga — dan svete Katarine.
39	1	Sveti Stjepan je:	Samo apostol	Prvi kršćanski mučenik (đakon)	Samo svećenik	Samo prorok	1	26. prosinca — kamenovan radi vjere.
40	2	Petar i Pavao su:	Samo prijatelji	Stupovi rane Crkve — blagdan 29. lipnja	Samo suputnici	Samo braća	1	Petar = stijene Crkve, Pavao = apostol naroda.
41	1	Deset Božjih zapovijedi dane su na:	Golgoti	Brdu Sinaj (Horeb)	Maslinskoj gori	Brdu Tabor	1	Izlazak 20 — kamene ploče.
42	1	Ne uzmi ime Gospodinovo uzalud je:	1. zapovijed	2. (ili 3.) zapovijed	4. zapovijed	5. zapovijed	1	Poštuj Božje ime.
43	2	Ne poželi ništa što je bližnjega tvoga:	7. zapovijed	9. i 10. zapovijed	1. zapovijed	3. zapovijed	1	Zadovoljstvo s onim što imaš.
44	2	Crkva uči da smo pozvani biti:	Samo slušatelji	Učenici i misionari — svjedoci vjere u svijetu	Samo gledatelji	Samo sljedbenici	1	Mt 28,19 — 'Idite i učinite sve narode učenicima.'
45	1	Isus je učenicima na Posljednjoj večeri oprao:	Ruke	Noge	Lice	Glavu	1	Iv 13,1-17 — primjer poniznosti i služenja.
46	1	Simbolika ribice (ICHTYS) za kršćane:	Samo ukrasi	Akronim za 'Isus Krist, Božji Sin, Spasitelj' (na grčkom)	Samo za ribare	Samo za more	1	Rani kršćani koristili kao tajni znak.
47	2	Sveta voda u crkvi služi za:	Samo pranje	Podsjetnik na krštenje i blagoslov	Samo za cvijeće	Samo za piće	1	Znak križa svetom vodom pri ulazu.
48	2	Tamjan u liturgiji simbolizira:	Samo miris	Molitvu koja se uzdiže k Bogu	Samo ukras	Samo tradiciju	1	Ps 141,2 — 'Nek se moja molitva uzdigne kao tamjan.'
49	1	Oltarna sveca simbolizira:	Samo svjetlo	Isusa — svjetlo svijeta	Samo vatru	Samo toplinu	1	Iv 8,12 — 'Ja sam svjetlost svijeta.'
50	1	Crkvena zvona služe:	Samo za buku	Za poziv na bogoslužje i obilježavanje vremena	Samo za vatrogasni	Samo za alarm	1	Angelus, nedjelja, blagdani.
51	2	Socijalni nauk Crkve uči o:	Samo vjeri	Pravednosti, dostojanstvu, solidarnosti, općem dobru	Samo politici	Samo ekonomiji	1	Rerum novarum (1891) — društvena pravda.
52	2	Dostojanstvo rada prema Crkvi:	Rad je kazna	Rad je dio suradnje u Božjem stvaranju	Samo za zaradu	Samo obvezn	1	Laborem exercens — Ivan Pavao II.
53	1	Savjest se oblikuje:	Samo sama	Odgojem, obrazovanjem, molitvdom i Božjom riječju	Samo strahom	Samo zakonom	1	Ispravna savjest — kompas za dobro življenje.
54	1	Grijeh je:	Samo pogreška	Svjestan i slobodan čin protiv Božje volje i ljubavi	Samo nesreća	Samo navika	1	Laki (svakidašnji) i teški (smrtni) grijeh.
55	2	Obraćenje (metanoia) znači:	Samo promjena mišljenja	Potpuna promjena srca — okret prema Bogu	Samo žaljenje	Samo ispovijed	1	Mk 1,15 — 'Obratite se i vjerujte Evanđelju.'
