ID	Semestar	Pitanje	Opcija A	Opcija B	Opcija C	Opcija D	Tocan odgovor	Objasnjenje
1	1	Tko je stvorio svijet prema Bibliji?	Ljudi	Bog	Životinje	Biljke	1	Postanak 1: 'U početku stvori Bog nebo i zemlju.'
2	1	Koliko dana je Bog stvarao prema Postanku?	3 dana	5 dana	6 dana, 7. počinuo	10 dana	2	6 dana stvaranja + 7. dan odmora (šabat).
3	1	Tko su bili prvi ljudi prema Bibliji?	Noa i Sara	Adam i Eva	Abraham i Sara	Mojsije i Mirjam	1	Postanak 2 — Edenski vrt.
4	1	Što je Deset zapovijedi?	Deset priča	Božji zakon dan Mojsiju na Sinaju	Deset molitvi	Deset psalama	1	Izlazak 20 — temelj moralnog zakona.
5	1	Prva zapovijed glasi:	Ne ubij	Ja sam Gospodin Bog tvoj, nemaj drugih bogova uz mene	Svetkuj blagdan	Poštuj oca i majku	1	Bog je jedini.
6	1	Biblija se dijeli na:	Tri dijela	Stari i Novi zavjet	Samo Novi zavjet	Samo Stari zavjet	1	SZ (~46 knjiga) + NZ (~27 knjiga).
7	1	Evanđelja su napisali:	Samo Pavao	Matej, Marko, Luka i Ivan	Samo Petar	Samo Mojsije	1	Četiri evanđelja — Radosna vijest o Isusu.
8	1	Isus Krist je rođen u:	Jeruzalemu	Betlehemu	Nazaretu	Rimu	1	Luka 2 — jaslice, pastiri, mudraci.
9	1	Božić slavimo:	1. studenoga	25. prosinca	15. siječnja	1. ožujka	1	Rođenje Isusa Krista.
10	1	Uskrs je:	Isusovo rođenje	Isusovo uskrsnuće od mrtvih	Isusov krštenje	Isusov ulazak u Jeruzalem	1	Najveći kršćanski blagdan.
11	1	Molitva Očenaš počinje:	Zdravo Marijo	Oče naš koji jesi na nebesima	Vjerujem u Boga	Slava Ocu	1	Isus je naučio učenike moliti (Mt 6,9-13).
12	1	Sakramenti su:	Samo 3	Sedam svetih znakova Božje milosti	Samo 2	Samo 10	1	Krštenje, potvrda, euharistija, ispovijed, bolesničko pomazanje, sveti red, ženidba.
13	1	Krštenje je:	Samo tradicija	Prvi sakrament — ulazak u kršćansku zajednicu	Samo obred	Samo pranje	1	Voda i Sveti Duh — novi život.
14	2	Euharistija (Pričest) je:	Samo kruh	Sakrament Isusovog tijela i krvi	Samo vino	Samo molitva	1	Posljednja večera — 'Ovo je tijelo moje.'
15	2	Ispovijed (sakrament pomirenja) uključuje:	Samo slušanje	Ispit savjesti, kajanje, ispovijed grijeha, zadovoljštinu	Samo molitvu	Samo pokoru	1	Bog oprašta kroz svećenika.
16	2	Sveti Duh se prikazuje kao:	Samo zvijezda	Golubica, ognjeni jezici, vjetar	Samo oblak	Samo stup	1	Duhovi (Pedesetnica) — silazak na apostole.
17	2	Presveto Trojstvo je:	Tri boga	Jedan Bog u tri osobe: Otac, Sin, Duh Sveti	Tri sveca	Tri anđela	1	Temeljni kršćanski dogmat.
